video_id,user_id,followers,duration,views,likes,comments,shares,hashtag,upload_time,engagement,like_rate,comment_rate,share_rate,upload_date,upload_weekday,cluster,is_viral
vid_28,user_174,387051,3,6320,600,66,62,education,2025-03-21,0.11518987341772152,0.0949367088607595,0.010443037974683544,0.009810126582278481,2025-03-21,Friday,1,0
vid_29,user_50,19788,3,313,26,5,1,fitness,2025-06-23,0.10223642172523961,0.08306709265175719,0.01597444089456869,0.003194888178913738,2025-06-23,Monday,0,0
vid_30,user_54,272897,3,4504,786,17,21,art,2025-02-01,0.18294849023090587,0.17451154529307283,0.003774422735346359,0.004662522202486678,2025-02-01,Saturday,1,0
vid_31,user_243,113826,7,948,40,12,3,music,2025-02-08,0.0580168776371308,0.04219409282700422,0.012658227848101266,0.0031645569620253164,2025-02-08,Saturday,0,0
vid_32,user_130,180544,5,2376,289,16,5,education,2025-07-12,0.13047138047138046,0.12163299663299663,0.006734006734006734,0.0021043771043771043,2025-07-12,Saturday,1,0
vid_33,user_134,476372,16,7879,359,58,14,gaming,2025-08-28,0.054702373397639295,0.04556415788805686,0.007361340271608072,0.0017768752379743622,2025-08-28,Thursday,1,0
vid_34,user_20,193021,10,3142,461,42,29,music,2025-03-14,0.16931890515595163,0.1467218332272438,0.01336728198599618,0.009229789942711649,2025-03-14,Friday,1,0
vid_35,user_166,405658,5,9331,1706,92,92,beauty,2025-04-03,0.20255063765941486,0.1828314221412496,0.009859607759082628,0.009859607759082628,2025-04-03,Thursday,1,1
vid_36,user_273,306918,3,6823,670,112,6,dance,2025-03-30,0.11549171918510918,0.09819727392642533,0.016415066686208412,0.0008793785724754507,2025-03-30,Sunday,1,0
vid_37,user_88,294493,3,3281,353,13,6,fashion,2025-09-11,0.11338006705272782,0.1075891496494971,0.003962206644315757,0.001828710758914965,2025-09-11,Thursday,1,0
vid_38,user_13,277835,30,2222,415,35,10,music,2025-08-22,0.207020702070207,0.18676867686768678,0.01575157515751575,0.004500450045004501,2025-08-22,Friday,1,0
vid_39,user_241,341728,4,2315,263,5,5,challenge,2025-05-19,0.11792656587473002,0.11360691144708424,0.0021598272138228943,0.0021598272138228943,2025-05-19,Monday,0,0
vid_40,user_264,268499,16,2377,256,11,9,education,2025-07-17,0.11611274716028608,0.1076987799747581,0.004627681952040387,0.0037862852334875894,2025-07-17,Thursday,1,0
vid_41,user_52,229384,25,1788,221,24,3,fitness,2025-10-17,0.13870246085011187,0.12360178970917227,0.013422818791946308,0.0016778523489932886,2025-10-17,Friday,0,0
vid_42,user_91,280976,14,2638,380,45,12,fashion,2025-11-02,0.16565579984836998,0.14404852160727824,0.017058377558756634,0.004548900682335102,2025-11-02,Sunday,1,0
vid_43,user_263,340451,29,2562,100,14,7,pets,2025-06-21,0.047228727556596406,0.039032006245121,0.00546448087431694,0.00273224043715847,2025-06-21,Saturday,0,0
vid_44,user_34,236421,7,835,140,6,3,education,2025-01-14,0.1784431137724551,0.16766467065868262,0.00718562874251497,0.003592814371257485,2025-01-14,Tuesday,0,0
vid_45,user_205,78013,47,1875,184,21,2,dance,2025-11-24,0.1104,0.09813333333333334,0.0112,0.0010666666666666667,2025-11-24,Monday,0,0
vid_46,user_80,122037,3,831,27,4,3,dance,2025-06-02,0.04091456077015644,0.032490974729241874,0.0048134777376654635,0.0036101083032490976,2025-06-02,Monday,0,0
vid_47,user_49,151688,3,1014,163,16,9,music,2025-07-15,0.1854043392504931,0.16074950690335305,0.015779092702169626,0.008875739644970414,2025-07-15,Tuesday,0,0
vid_48,user_1,124641,16,3382,297,53,12,motivation,2025-06-27,0.10703725606150206,0.08781785925487877,0.015671200473092846,0.0035481963335304554,2025-06-27,Friday,1,0
vid_49,user_53,67816,43,1410,53,5,12,fitness,2025-04-05,0.04964539007092199,0.0375886524822695,0.0035460992907801418,0.00851063829787234,2025-04-05,Saturday,0,0
vid_50,user_105,6561,25,319,42,3,2,food,2025-12-07,0.14733542319749215,0.13166144200626959,0.009404388714733543,0.006269592476489028,2025-12-07,Sunday,0,0
vid_51,user_259,114866,3,1542,275,24,14,pets,2025-08-25,0.20298313878080415,0.17833981841763943,0.01556420233463035,0.009079118028534372,2025-08-25,Monday,1,0
vid_52,user_190,249482,5,1859,334,13,14,education,2025-11-07,0.19419042495965572,0.17966648735879506,0.006993006993006993,0.007530930607853685,2025-11-07,Friday,1,0
vid_53,user_217,419443,40,4534,872,59,30,funny,2025-03-19,0.21195412439347155,0.19232465813850905,0.013012792236435818,0.0066166740185266875,2025-03-19,Wednesday,1,0
vid_54,user_43,266959,4,1482,261,2,12,funny,2025-09-01,0.18556005398110662,0.17611336032388664,0.001349527665317139,0.008097165991902834,2025-09-01,Monday,0,0
vid_55,user_161,151476,23,2164,44,27,2,dance,2025-08-08,0.03373382624768946,0.02033271719038817,0.012476894639556377,0.0009242144177449168,2025-08-08,Friday,0,0
vid_56,user_201,286123,26,2933,259,11,14,funny,2025-08-08,0.0968291851346744,0.0883054892601432,0.0037504261847937266,0.00477326968973747,2025-08-08,Friday,1,0
vid_57,user_269,159942,10,196,32,3,1,dance,2025-07-26,0.1836734693877551,0.16326530612244897,0.015306122448979591,0.00510204081632653,2025-07-26,Saturday,0,0
vid_58,user_270,111626,7,896,76,6,6,fashion,2025-07-03,0.09821428571428571,0.08482142857142858,0.006696428571428571,0.006696428571428571,2025-07-03,Thursday,0,0
vid_59,user_214,422789,9,3940,505,25,37,food,2025-04-25,0.14390862944162436,0.1281725888324873,0.006345177664974619,0.009390862944162437,2025-04-25,Friday,1,0
vid_60,user_251,71138,4,2064,266,35,16,challenge,2025-05-04,0.15358527131782945,0.12887596899224807,0.01695736434108527,0.007751937984496124,2025-05-04,Sunday,1,0
vid_61,user_189,459429,33,2580,221,5,22,travel,2025-08-26,0.09612403100775194,0.08565891472868217,0.001937984496124031,0.008527131782945736,2025-08-26,Tuesday,1,0
vid_62,user_295,77575,9,798,145,6,5,gaming,2025-04-18,0.19548872180451127,0.18170426065162906,0.007518796992481203,0.006265664160401002,2025-04-18,Friday,0,0
vid_63,user_212,13830,32,164,18,1,1,music,2025-02-16,0.12195121951219512,0.10975609756097561,0.006097560975609756,0.006097560975609756,2025-02-16,Sunday,0,0
vid_64,user_207,268783,3,3312,343,21,18,travel,2025-07-17,0.11533816425120773,0.10356280193236715,0.006340579710144928,0.005434782608695652,2025-07-17,Thursday,1,0
vid_65,user_236,428078,67,6053,1207,110,56,art,2025-02-20,0.22682967123740294,0.19940525359325953,0.018172806872625145,0.009251610771518256,2025-02-20,Thursday,1,0
vid_66,user_52,355858,9,2619,285,39,21,pets,2025-07-13,0.13172966781214204,0.10882016036655212,0.014891179839633447,0.008018327605956471,2025-07-13,Sunday,1,0
vid_67,user_279,439205,3,5702,297,12,48,fashion,2025-03-11,0.0626096106629253,0.05208698702209751,0.002104524728165556,0.008418098912662224,2025-03-11,Tuesday,1,0
vid_68,user_216,444759,3,1228,137,17,8,dance,2025-03-28,0.13192182410423453,0.11156351791530944,0.013843648208469055,0.006514657980456026,2025-03-28,Friday,0,0
vid_69,user_251,104238,21,2712,451,29,9,art,2025-03-16,0.18030973451327434,0.16629793510324484,0.010693215339233038,0.00331858407079646,2025-03-16,Sunday,1,0
vid_70,user_187,93376,16,1168,186,21,0,dance,2025-07-12,0.17722602739726026,0.15924657534246575,0.01797945205479452,0.0,2025-07-12,Saturday,0,0
vid_71,user_40,303147,24,3598,582,24,33,food,2025-08-08,0.17759866592551418,0.16175653140633686,0.006670372429127293,0.009171762090050028,2025-08-08,Friday,1,0
vid_72,user_156,65835,3,1259,185,14,7,fashion,2025-10-05,0.1636219221604448,0.14694201747418587,0.011119936457505957,0.005559968228752979,2025-10-05,Sunday,0,0
vid_73,user_14,19359,3,1147,75,12,3,art,2025-11-29,0.07846556233653008,0.06538796861377506,0.010462074978204011,0.0026155187445510027,2025-11-29,Saturday,0,0
vid_74,user_64,54245,11,769,134,7,1,food,2025-08-21,0.1846553966189857,0.17425227568270482,0.009102730819245773,0.0013003901170351106,2025-08-21,Thursday,0,0
vid_75,user_8,25951,7,170,30,1,1,food,2025-08-16,0.18823529411764706,0.17647058823529413,0.0058823529411764705,0.0058823529411764705,2025-08-16,Saturday,0,0
vid_76,user_128,154698,9,3969,218,19,33,travel,2025-02-13,0.06802721088435375,0.054925673973293024,0.004787100025195263,0.008314436885865457,2025-02-13,Thursday,1,0
vid_77,user_135,424774,72,7968,346,122,65,dance,2025-10-24,0.0668925702811245,0.043423694779116465,0.015311244979919678,0.008157630522088354,2025-10-24,Friday,1,0
vid_78,user_62,467977,53,5735,1121,54,38,education,2025-09-12,0.2115082824760244,0.1954664341761116,0.00941586748038361,0.006625980819529207,2025-09-12,Friday,1,0
vid_79,user_138,25514,43,697,122,13,2,beauty,2025-09-07,0.19655667144906744,0.1750358680057389,0.018651362984218076,0.0028694404591104736,2025-09-07,Sunday,0,0
vid_80,user_80,453547,23,2482,448,14,8,funny,2025-09-30,0.18936341659951653,0.18049959709911362,0.0056406124093473006,0.0032232070910556,2025-09-30,Tuesday,1,0
vid_81,user_162,278454,7,1049,188,14,0,funny,2025-06-22,0.19256434699714015,0.17921830314585319,0.01334604385128694,0.0,2025-06-22,Sunday,0,0
vid_82,user_288,125047,8,1479,173,27,12,funny,2025-08-24,0.14334009465855307,0.1169709263015551,0.018255578093306288,0.008113590263691683,2025-08-24,Sunday,0,0
vid_83,user_260,297634,12,716,97,9,0,pets,2025-02-15,0.14804469273743018,0.13547486033519554,0.012569832402234637,0.0,2025-02-15,Saturday,0,0
vid_84,user_230,357276,27,2060,243,36,13,gaming,2025-08-09,0.141747572815534,0.11796116504854369,0.017475728155339806,0.006310679611650485,2025-08-09,Saturday,1,0
vid_85,user_40,367777,3,2789,81,46,14,gaming,2025-05-23,0.05055575475080674,0.029042667622803872,0.016493366798135532,0.005019720329867336,2025-05-23,Friday,1,0
vid_86,user_27,56733,8,656,101,5,3,fitness,2025-08-21,0.16615853658536586,0.15396341463414634,0.007621951219512195,0.004573170731707317,2025-08-21,Thursday,0,0
vid_87,user_134,386400,3,7135,791,88,66,food,2025-09-23,0.1324456902592852,0.11086194814295726,0.012333566923615978,0.009250175192711983,2025-09-23,Tuesday,1,0
vid_88,user_200,172552,11,3601,491,14,2,challenge,2025-07-09,0.1407942238267148,0.1363510136073313,0.0038878089419605664,0.0005554012774229381,2025-07-09,Wednesday,1,0
vid_89,user_267,395253,34,4372,482,48,34,music,2025-07-02,0.12900274473924978,0.11024702653247942,0.010978956999085087,0.00777676120768527,2025-07-02,Wednesday,1,0
vid_90,user_32,156227,23,293,31,1,0,dance,2025-11-10,0.10921501706484642,0.10580204778156997,0.0034129692832764505,0.0,2025-11-10,Monday,0,0
vid_91,user_47,78534,4,1033,52,15,0,dance,2025-12-23,0.06485963213939981,0.05033881897386254,0.01452081316553727,0.0,2025-12-23,Tuesday,0,0
vid_92,user_61,249869,56,1892,132,20,8,gaming,2025-07-10,0.08456659619450317,0.06976744186046512,0.010570824524312896,0.004228329809725159,2025-07-10,Thursday,0,0
vid_93,user_215,406292,17,1902,92,16,2,music,2025-05-19,0.05783385909568875,0.048370136698212406,0.008412197686645636,0.0010515247108307045,2025-05-19,Monday,0,0
vid_94,user_292,330503,3,4503,248,27,36,lifehack,2025-02-04,0.06906506773262269,0.05507439484787919,0.005996002664890073,0.007994670219853431,2025-02-04,Tuesday,1,0
vid_95,user_98,308121,4,2545,496,50,14,motivation,2025-12-18,0.2200392927308448,0.1948919449901768,0.019646365422396856,0.00550098231827112,2025-12-18,Thursday,1,0
vid_96,user_171,206536,5,3306,157,7,2,art,2025-12-08,0.05021173623714459,0.04748941318814277,0.002117362371445856,0.0006049606775559589,2025-12-08,Monday,0,0
vid_97,user_213,450801,3,4714,322,8,4,fashion,2025-05-12,0.07085277895630038,0.06830717013152313,0.0016970725498515061,0.0008485362749257531,2025-05-12,Monday,1,0
vid_98,user_34,305140,48,7362,929,37,46,motivation,2025-11-18,0.13746264602010325,0.12618853572398805,0.005025808204292312,0.006248302091822874,2025-11-18,Tuesday,1,0
vid_99,user_226,388697,10,1859,241,36,15,gaming,2025-03-14,0.157073695535234,0.1296395911780527,0.019365250134480903,0.008068854222700376,2025-03-14,Friday,1,0
vid_100,user_100,449827,34,8644,412,169,40,travel,2025-06-12,0.07184173993521518,0.04766311892642295,0.01955113373438223,0.004627487274409995,2025-06-12,Thursday,1,1
vid_101,user_130,141499,6,3766,613,50,21,education,2025-10-21,0.1816250663834307,0.16277217206585237,0.013276686139139671,0.0055762081784386614,2025-10-21,Tuesday,1,0
vid_102,user_256,53642,3,870,140,15,7,beauty,2025-08-11,0.18620689655172415,0.16091954022988506,0.017241379310344827,0.008045977011494253,2025-08-11,Monday,0,0
vid_103,user_4,138469,10,911,57,4,5,funny,2025-07-04,0.07244785949506037,0.06256860592755215,0.0043907793633369925,0.005488474204171241,2025-07-04,Friday,0,0
vid_104,user_217,295970,3,9070,652,176,23,education,2025-04-05,0.0938257993384785,0.07188533627342888,0.019404630650496142,0.002535832414553473,2025-04-05,Saturday,1,1
vid_105,user_254,397049,10,4628,873,17,29,art,2025-10-16,0.19857389801210026,0.1886343993085566,0.003673292999135696,0.006266205704407952,2025-10-16,Thursday,1,0
vid_106,user_282,55848,38,940,158,2,6,beauty,2025-06-21,0.17659574468085107,0.16808510638297872,0.002127659574468085,0.006382978723404255,2025-06-21,Saturday,0,0
vid_107,user_206,135420,11,422,61,1,3,beauty,2025-11-05,0.15402843601895735,0.14454976303317535,0.002369668246445498,0.0071090047393364926,2025-11-05,Wednesday,0,0
vid_108,user_14,332398,14,4903,170,58,31,fitness,2025-05-28,0.05282480114215786,0.03467264939832755,0.011829492147664695,0.006322659596165613,2025-05-28,Wednesday,1,0
vid_109,user_41,348401,3,1729,164,27,16,pets,2025-11-15,0.11972238288027762,0.09485251590514748,0.015615962984384037,0.009253903990746095,2025-11-15,Saturday,1,0
vid_110,user_178,362550,3,372,44,2,0,art,2025-06-28,0.12365591397849462,0.11827956989247312,0.005376344086021506,0.0,2025-06-28,Saturday,0,0
vid_111,user_62,448427,3,5723,307,112,54,music,2025-05-22,0.08264896033548838,0.053643194128953346,0.019570155512842916,0.00943561069369212,2025-05-22,Thursday,1,0
vid_112,user_230,322846,14,1960,197,18,11,food,2025-10-18,0.11530612244897959,0.10051020408163265,0.009183673469387756,0.005612244897959183,2025-10-18,Saturday,1,0
vid_113,user_240,427750,3,6312,809,24,43,food,2025-04-20,0.13878326996197718,0.12816856780735109,0.0038022813688212928,0.006812420785804817,2025-04-20,Sunday,1,0
vid_114,user_51,491880,7,2331,183,22,3,beauty,2025-10-28,0.08923208923208924,0.07850707850707851,0.009438009438009438,0.001287001287001287,2025-10-28,Tuesday,1,0
vid_115,user_95,391766,12,2131,342,29,8,education,2025-06-10,0.17785077428437354,0.16048803378695448,0.01360863444392304,0.003754106053496011,2025-06-10,Tuesday,1,0
vid_116,user_221,243817,7,2004,343,33,15,education,2025-03-02,0.19510978043912175,0.17115768463073852,0.016467065868263474,0.0074850299401197605,2025-03-02,Sunday,1,0
vid_117,user_230,20972,3,130,10,1,0,education,2025-12-15,0.08461538461538462,0.07692307692307693,0.007692307692307693,0.0,2025-12-15,Monday,0,0
vid_118,user_236,427294,5,8269,1413,101,7,funny,2025-03-13,0.18394001693070505,0.17087918732615795,0.012214294352400533,0.0008465352521465716,2025-03-13,Thursday,1,0
vid_119,user_142,413582,40,597,23,3,3,fitness,2025-04-25,0.048576214405360134,0.038525963149078725,0.005025125628140704,0.005025125628140704,2025-04-25,Friday,0,0
vid_120,user_170,339190,17,2864,489,38,3,challenge,2025-07-25,0.18505586592178772,0.17074022346368714,0.013268156424581005,0.001047486033519553,2025-07-25,Friday,1,0
vid_121,user_28,410234,10,1631,77,32,16,fashion,2025-11-30,0.07664009809932557,0.04721030042918455,0.019619865113427344,0.009809932556713672,2025-11-30,Sunday,1,0
vid_122,user_35,292460,3,2699,94,5,24,dance,2025-11-02,0.045572434234901815,0.034827713968136345,0.001852537977028529,0.00889218228973694,2025-11-02,Sunday,1,0
vid_123,user_12,226867,73,4181,566,74,2,fashion,2025-02-11,0.15355178187036594,0.1353743123654628,0.017699115044247787,0.00047835446065534564,2025-02-11,Tuesday,1,0
vid_124,user_159,417266,17,556,58,6,4,beauty,2025-01-20,0.1223021582733813,0.10431654676258993,0.01079136690647482,0.007194244604316547,2025-01-20,Monday,0,0
vid_125,user_186,407277,6,4427,812,25,40,lifehack,2025-04-02,0.19810255251863565,0.18341992319855432,0.0056471651231082,0.00903546419697312,2025-04-02,Wednesday,1,0
vid_126,user_242,2916,32,911,77,17,3,pets,2025-03-09,0.10647639956092206,0.0845225027442371,0.018660812294182216,0.003293084522502744,2025-03-09,Sunday,0,0
vid_127,user_85,112719,4,906,64,9,6,dance,2025-05-15,0.08719646799116998,0.0706401766004415,0.009933774834437087,0.006622516556291391,2025-05-15,Thursday,0,0
vid_128,user_283,268092,12,4753,523,34,22,fitness,2025-03-07,0.12181779928466231,0.11003576688407321,0.0071533768146433835,0.004628655585945719,2025-03-07,Friday,1,0
vid_129,user_65,280589,15,7922,808,35,53,gaming,2025-11-25,0.11310275183034588,0.10199444584700833,0.004418076243372886,0.006690229739964655,2025-11-25,Tuesday,1,0
vid_130,user_169,170141,4,2148,176,12,8,funny,2025-05-31,0.09124767225325885,0.08193668528864059,0.00558659217877095,0.0037243947858473,2025-05-31,Saturday,0,0
vid_131,user_44,496509,58,7427,1075,124,26,travel,2025-02-05,0.1649387370405278,0.14474215699474888,0.01669583950451057,0.0035007405412683453,2025-02-05,Wednesday,1,0
vid_132,user_61,266200,21,1960,307,24,8,fashion,2025-05-20,0.17295918367346938,0.15663265306122448,0.012244897959183673,0.004081632653061225,2025-05-20,Tuesday,1,0
vid_133,user_133,165515,12,1495,259,27,2,fashion,2025-08-11,0.19264214046822742,0.17324414715719064,0.018060200668896322,0.0013377926421404682,2025-08-11,Monday,0,0
vid_134,user_283,273150,3,3220,628,17,27,lifehack,2025-07-24,0.20869565217391303,0.19503105590062111,0.005279503105590062,0.008385093167701863,2025-07-24,Thursday,1,0
vid_135,user_27,443308,3,5141,349,16,19,pets,2025-10-22,0.07469363936977241,0.06788562536471504,0.0031122349737405172,0.0036957790313168646,2025-10-22,Wednesday,1,0
vid_136,user_107,489465,6,7046,1049,7,30,education,2025-12-15,0.15413000283848993,0.1488787964802725,0.0009934714731762702,0.004257734885041158,2025-12-15,Monday,1,0
vid_137,user_43,399344,21,3845,349,40,34,fitness,2025-03-11,0.11001300390117034,0.09076723016905071,0.010403120936280884,0.008842652795838752,2025-03-11,Tuesday,1,0
vid_138,user_285,422897,5,2144,304,42,11,beauty,2025-06-08,0.16651119402985073,0.1417910447761194,0.01958955223880597,0.005130597014925373,2025-06-08,Sunday,1,0
vid_139,user_127,357870,12,7218,762,102,40,fitness,2025-07-03,0.12524244943197563,0.1055694098088113,0.014131338320864505,0.005541701302299806,2025-07-03,Thursday,1,0
vid_140,user_230,121774,20,2314,460,15,22,dance,2025-01-18,0.21477960242005187,0.19878997407087295,0.00648228176318064,0.00950734658599827,2025-01-18,Saturday,1,0
vid_141,user_189,62951,3,1631,246,28,14,dance,2025-02-28,0.17657878602084612,0.1508277130594727,0.017167381974248927,0.008583690987124463,2025-02-28,Friday,1,0
vid_142,user_224,369421,17,10639,2036,168,22,funny,2025-11-19,0.2092301908074067,0.1913713694896137,0.015790957796785413,0.0020678635210076134,2025-11-19,Wednesday,1,1
vid_143,user_282,200619,3,1011,172,1,5,education,2025-08-12,0.17606330365974282,0.17012858555885263,0.0009891196834817012,0.004945598417408506,2025-08-12,Tuesday,0,0
vid_144,user_120,488079,50,5408,987,89,52,fitness,2025-04-19,0.20857988165680474,0.18250739644970415,0.016457100591715977,0.009615384615384616,2025-04-19,Saturday,1,0
vid_145,user_115,117242,10,989,164,6,3,education,2025-05-11,0.17492416582406473,0.16582406471183014,0.006066734074823054,0.003033367037411527,2025-05-11,Sunday,0,0
vid_146,user_232,172696,3,1909,195,7,7,beauty,2025-01-30,0.10948140387637506,0.10214772132006286,0.003666841278156103,0.003666841278156103,2025-01-30,Thursday,0,0
vid_147,user_258,293611,6,6394,417,33,15,art,2025-07-11,0.07272442915233031,0.06521739130434782,0.005161088520487958,0.0023459493274945262,2025-07-11,Friday,1,0
vid_148,user_197,350214,8,9030,782,89,14,gaming,2025-07-17,0.09800664451827243,0.08660022148394242,0.009856035437430787,0.0015503875968992248,2025-07-17,Thursday,1,1
vid_149,user_136,345833,21,3742,88,33,28,motivation,2025-08-30,0.039818278995189735,0.02351683591662213,0.008818813468733297,0.0074826296098343134,2025-08-30,Saturday,1,0
vid_150,user_164,458272,20,4606,526,29,35,funny,2025-04-01,0.12809379070777246,0.11419887103777682,0.006296135475466783,0.007598784194528876,2025-04-01,Tuesday,1,0
vid_151,user_224,94931,14,2099,232,8,20,travel,2025-01-02,0.12386850881372082,0.11052882324916627,0.003811338732729871,0.009528346831824679,2025-01-02,Thursday,0,0
vid_152,user_233,242984,3,2183,250,33,17,dance,2025-10-03,0.1374255611543747,0.11452130096197893,0.015116811726981219,0.007787448465414567,2025-10-03,Friday,1,0
vid_153,user_171,432720,3,1754,342,34,4,fitness,2025-04-07,0.21664766248574688,0.1949828962371722,0.019384264538198404,0.002280501710376283,2025-04-07,Monday,1,0
vid_154,user_151,132709,3,1400,257,22,1,motivation,2025-10-12,0.2,0.18357142857142858,0.015714285714285715,0.0007142857142857143,2025-10-12,Sunday,0,0
vid_155,user_159,121738,13,2197,107,14,21,food,2025-09-22,0.0646335912608102,0.0487027765134274,0.0063723258989531175,0.009558488848429678,2025-09-22,Monday,0,0
vid_156,user_95,115634,31,1844,159,10,6,education,2025-01-04,0.09490238611713665,0.08622559652928416,0.005422993492407809,0.0032537960954446853,2025-01-04,Saturday,0,0
vid_157,user_232,185832,9,2537,244,13,8,music,2025-08-26,0.10445407962160032,0.09617658651951123,0.005124162396531336,0.0031533307055577452,2025-08-26,Tuesday,1,0
vid_158,user_179,348761,3,10777,914,38,98,challenge,2025-02-09,0.09742971142247378,0.08481024403822957,0.0035260276514800038,0.00909343973276422,2025-02-09,Sunday,1,1
vid_159,user_112,222870,12,2348,384,26,14,dance,2025-11-25,0.18057921635434412,0.1635434412265758,0.011073253833049404,0.00596252129471891,2025-11-25,Tuesday,1,0
vid_160,user_51,338080,25,2903,331,36,7,gaming,2025-10-09,0.1288322425077506,0.11401997933172581,0.012400964519462624,0.002411298656562177,2025-10-09,Thursday,1,0
vid_161,user_267,412082,20,9938,1222,143,88,challenge,2025-08-29,0.146206480177098,0.12296236667337493,0.014389213121352384,0.008854900382370698,2025-08-29,Friday,1,1
vid_162,user_294,216946,32,2112,366,29,20,fashion,2025-04-13,0.19649621212121213,0.17329545454545456,0.013731060606060606,0.00946969696969697,2025-04-13,Sunday,1,0
